,Tweet,Extracted Date/Time,Date/Time,MRT_Line,Status,From_Stn,To_Stn,Duration,New_Fr_Stn,New_To_Stn
128,"[EWL]: Due to a track point fault, pls add 30mins train travel time from #Queenstown to #JurongEast. (Not linked to new signalling project).",11:53 PM - 3 Nov 2017,2017-11-03 23:53:00,EWL,update,Queenstown,JurongEast,0,None,None
129,[EWL] CLEARED: Train svcs btwn #TanahMerah and #PasirRis have resumed. Free regular bus & free bridging bus svcs have ended.,5:37 PM - 27 Sep 2017,2017-09-27 17:37:00,EWL,cleared,,,82.0,Tampines,PasirRis
130,[EWL] UPDATE: Train svcs are progressively being restored. Pls add 10mins train travel time btwn #TanahMerah and #PasirRis.,5:04 PM - 27 Sep 2017,2017-09-27 17:04:00,EWL,update,TanahMerah,PasirRis,0,None,None
131,[EWL] UPDATE: Free regular bus & free bridging bus svcs btwn #Tampines and #PasirRis.,4:15 PM - 27 Sep 2017,2017-09-27 16:15:00,EWL,update,Tampines,PasirRis,0,None,None
132,[EWL] UPDATE: Train svcs has resumed. Pls add 20mins travel time btwn #TanahMerah and #PasirRis due to track point fault.,3:47 PM - 27 Sep 2017,2017-09-27 15:47:00,EWL,cleared,,,0.0,,
133,[EWL] UPDATE: Train svcs has resumed. Pls add 20mins travel time btwn #Tampines and #PasirRis due to track point fault.,3:15 PM - 27 Sep 2017,2017-09-27 15:15:00,EWL,cleared,,,21.0,TanahMerah,PasirRis
134,[EWL] UPDATE: Free regular bus svcs btwn #Tampines and #PasirRis.,2:58 PM - 27 Sep 2017,2017-09-27 14:58:00,EWL,update,Tampines,PasirRis,0,None,None
135,[EWL] UPDATE: Free regular bus svcs btwn #TanahMerah and #PasirRis.,2:54 PM - 27 Sep 2017,2017-09-27 14:54:00,EWL,update,TanahMerah,PasirRis,0,None,None
136,[EWL] CLEARED: Train services from #JurongEast to #Redhill have resumed.,9:28 PM - 29 Aug 2017,2017-08-29 21:28:00,EWL,cleared,,,255.00000000000003,JurongEast,Redhill
137,[EWL] UPDATE: Additional train travel time reduced to 5mins from #JurongEast to #Redhill due to a track fault. Train svc is available.,8:21 PM - 29 Aug 2017,2017-08-29 20:21:00,EWL,update,JurongEast,Redhill,0,None,None
138,[EWL] UPDATE: Additional train travel time reduced to 10mins from #JurongEast to #Redhill due to a track fault. Train svc is available.,7:56 PM - 29 Aug 2017,2017-08-29 19:56:00,EWL,update,JurongEast,Redhill,0,None,None
139,[EWL] UPDATE: Pls add 15mins train travel time from #JurongEast to #Redhill due to a track fault at #Redhill. Train svc is available.,5:42 PM - 29 Aug 2017,2017-08-29 17:42:00,EWL,update,JurongEast,Redhill,0,None,None
140,"[EWL]:Due to a track fault,pls add 10mins train travel time from #JurongEast to #Redhill.(Not linked to new signalling project).",5:13 PM - 29 Aug 2017,2017-08-29 17:13:00,EWL,update,JurongEast,Redhill,0,None,None
141,[EWL] CLEARED: Train services on the EWL are running normally now.,10:58 PM - 24 Jul 2017,2017-07-24 22:58:00,EWL,cleared,,,0.0,,
142,[EWL] CLEARED: We have stopped free regular bus services.,9:08 PM - 24 Jul 2017,2017-07-24 21:08:00,EWL,cleared,,,0.0,,
143,[EWL] CLEARED: Train svcs btwn #Queenstown & #Bugis are progressively returning to normal. Free regular bus svcs are still available.,8:59 PM - 24 Jul 2017,2017-07-24 20:59:00,EWL,cleared,,,44.0,Queenstown,Bugis
144,[EWL] UPDATE: Free regular bus svcs are available btwn #Queenstown & #Bugis both bounds.,8:17 PM - 24 Jul 2017,2017-07-24 20:17:00,EWL,update,Queenstown,Bugis,0,None,None
145,[EWL] UPDATE: No train svc from 11.30am btwn #Queenstown & #Bugis both bounds for up to 30 mins due to urgent repair works.,8:15 PM - 24 Jul 2017,2017-07-24 20:15:00,EWL,update,Queenstown,Bugis,0,None,None
146,[EWL] CLEARED: Track circuit fault cleared at #Commonwealth. Train services are returning to normal speed.,8:06 PM - 24 Jul 2017,2017-07-24 20:06:00,EWL,cleared,,,135.00000000000003,JooKoon,Commonwealth
147,"[EWL] UPDATE: Due to an earlier track circuit fault at #Commonwealth, pls add 25 mins train travel time from #JooKoon to #TiongBahru.",6:51 PM - 24 Jul 2017,2017-07-24 18:51:00,EWL,update,JooKoon,TiongBahru,0,None,None
148,"[EWL]: Due to an earlier track circuit fault at #Commonwealth, pls add 20 mins train travel time from #JooKoon to #Commonwealth.",6:33 PM - 24 Jul 2017,2017-07-24 18:33:00,EWL,update,JooKoon,Commonwealth,0,None,None
149,"[EWL]: Due to a track circuit fault at #Commonwealth, pls add 15 mins train travel time from #JooKoon to #Commonwealth.",5:51 PM - 24 Jul 2017,2017-07-24 17:51:00,EWL,update,JooKoon,Commonwealth,0,None,None
150,"[EWL]UPDATE:Track fault cleared, train services are progressively being restored.",2:45 AM - 21 Jul 2017,2017-07-21 02:45:00,EWL,cleared,,,11.0,Clementi,TanjongPagar
151,"[EWL]:Due to a track fault(not related to new signalling system),Pls add 15mins travel time from #Clementi to #TanjongPagar towards PasirRis",2:34 AM - 21 Jul 2017,2017-07-21 02:34:00,EWL,update,Clementi,TanjongPagar,0,None,None
152,[EWL] CLEARED: Train services between #TuasLink & #Queenstown have resumed. Free regular bus services are still available.,9:20 AM - 12 Jul 2017,2017-07-12 09:20:00,EWL,cleared,,,0.0,,
153,[EWL] CLEARED: Train service from #JooKoon towards #Clementi have resumed.,7:58 PM - 11 Jul 2017,2017-07-11 19:58:00,EWL,cleared,,,137.0,JooKoon,Clementi
154,"[EWL]UPDATE:Pls add 5 mins travel time from #JooKoon towards #Clementi,due to a track circuit fault at #JurongEast. Train svc is available.",7:42 PM - 11 Jul 2017,2017-07-11 19:42:00,EWL,update,JooKoon,Clementi,0,None,None
155,"[EWL]: Due to a track circuit fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is available.",6:46 PM - 11 Jul 2017,2017-07-11 18:46:00,EWL,update,JooKoon,Clementi,0,None,None
156,"[EWL]: Due to a track circuit fault, pls add 20 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is available.",6:13 PM - 11 Jul 2017,2017-07-11 18:13:00,EWL,update,JooKoon,Clementi,0,None,None
157,"[EWL]: Due to a train fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is available.",5:41 PM - 11 Jul 2017,2017-07-11 17:41:00,EWL,update,JooKoon,Clementi,0,None,None
158,[EWL]UPDATE: Train services are progressively being restored to normal btwn #Queenstown & #Bugis.,5:31 AM - 10 Jul 2017,2017-07-10 05:31:00,EWL,cleared,,,105.0,Queenstown,Bugis
159,[EWL] UPDATE: We have stopped free regular bus services between #Queenstown and #Bugis.,5:26 AM - 10 Jul 2017,2017-07-10 05:26:00,EWL,update,Queenstown,Bugis,0,None,None
160,[EWL] UPDATE: Pls cater 15 mins additional travel time between #Queenstown & #Bugis. We are working to recover service.,5:18 AM - 10 Jul 2017,2017-07-10 05:18:00,EWL,update,Queenstown,Bugis,0,None,None
161,"[EWL]Update:Due to a signalling fault,pls add 25mins travel time between #Queenstown & #Bugis.Free regular bus services still available.",4:12 AM - 10 Jul 2017,2017-07-10 04:12:00,EWL,update,Queenstown,Bugis,0,None,None
162,"[EWL]Update: Due to a signalling fault, pls add 25mins travel time between #Queenstown & #Bugis. Train service is available.",3:57 AM - 10 Jul 2017,2017-07-10 03:57:00,EWL,update,Queenstown,Bugis,0,None,None
163,[EWL] UPDATE: Free regular bus services are available between #Queenstown & #Bugis.,3:52 AM - 10 Jul 2017,2017-07-10 03:52:00,EWL,update,Queenstown,Bugis,0,None,None
164,"[EWL]: Due to a signalling fault, pls add 15mins travel time between #Queenstown & #Bugis. Train service is available.",3:46 AM - 10 Jul 2017,2017-07-10 03:46:00,EWL,update,Queenstown,Bugis,0,None,None
165,[EWL]UPDATE: Train fault at #JooKoon has been cleared. Trains are progressively back to normal speed.,4:29 AM - 5 Jul 2017,2017-07-05 04:29:00,EWL,cleared,,,27.0,JurongEast,JooKoon
166,"[EWL]UPDATE:Pls add 10 mins travel time from #JurongEast to #JooKoon,due to an earlier train fault at #JooKoon. Train svc is available.",4:13 AM - 5 Jul 2017,2017-07-05 04:13:00,EWL,update,JurongEast,JooKoon,0,None,None
167,"[EWL]: Due to a train fault, pls add 15 mins travel time from #JurongEast to #JooKoon towards #JooKoon. Train service is available.",4:02 AM - 5 Jul 2017,2017-07-05 04:02:00,EWL,update,JurongEast,JooKoon,0,None,None
168,[EWL] UPDATE: Train services btw #JKN and #TLK have resumed. Free bus services are still available between #JKN and #TLK.,2:56 AM - 28 Jun 2017,2017-06-28 02:56:00,EWL,cleared,,,4.000000000000001,JKN,TLK
169,[EWL] UPDATE: Free bus services are still available between #JKN and #TLK.,2:52 AM - 28 Jun 2017,2017-06-28 02:52:00,EWL,update,JKN,TLK,0,None,None
170,[EWL] UPDATE: Train services btw #TLK and #GCL are progressively returning to normal. No train services btw #JKN and #GCL.,2:47 AM - 28 Jun 2017,2017-06-28 02:47:00,EWL,cleared,,,25.0,TLK,JKN
171,"[EWL]: Due to a signalling fault, there are no train service btw #TLK & #JKN. Free regular bus services are available btw #TLK & #JKN.",2:22 AM - 28 Jun 2017,2017-06-28 02:22:00,EWL,update,TLK,JKN,0,None,None
172,[EWL]UPDATE:Congestion from #Redhill to #Dover has cleared. Normal service has resumed.,9:55 PM - 13 Jun 2017,2017-06-13 21:55:00,EWL,cleared,,,282.0,CityHall,Dover
173,"[EWL]UPDATE: Due to a track circuit fault at #BuonaVista,pls add 5mins travel time from #Redhill to #Dover,train svc is still available.",9:47 PM - 13 Jun 2017,2017-06-13 21:47:00,EWL,update,Redhill,Dover,0,None,None
174,"[EWL]UPDATE: Due to a track circuit fault at #BuonaVista,pls add 10mins travel time from #Redhill to #Dover,train svc is still available.",9:19 PM - 13 Jun 2017,2017-06-13 21:19:00,EWL,update,Redhill,Dover,0,None,None
175,"[EWL]UPDATE: Due to a track circuit fault at #BuonaVista,pls add 10mins travel time from #CityHall to #Dover,train svc is still available.",8:57 PM - 13 Jun 2017,2017-06-13 20:57:00,EWL,update,CityHall,Dover,0,None,None
176,[EWL] UPDATE:  Pls cater 10 mins additional travel time from #CityHall to #Dover.We are working to recover service.,8:37 PM - 13 Jun 2017,2017-06-13 20:37:00,EWL,update,CityHall,Dover,0,None,None
177,"[EWL]UPDATE:Due to a track circuit fault at #BuonaVista,pls add 10 mins travel time from #CityHall to #Dover,train svc is still available.",8:16 PM - 13 Jun 2017,2017-06-13 20:16:00,EWL,update,CityHall,Dover,0,None,None
178,[EWL] UPDATE: Pls cater 10 mins additional travel time from #CityHall to #Dover.We are working to recover service.,7:56 PM - 13 Jun 2017,2017-06-13 19:56:00,EWL,update,CityHall,Dover,0,None,None
179,"[EWL]UPDATE:Due to a track circuit fault at #BuonaVista,pls add 15 mins travel time from #CityHall to #Dover,train svc is still available.",7:35 PM - 13 Jun 2017,2017-06-13 19:35:00,EWL,update,CityHall,Dover,0,None,None
180,[EWL] UPDATE: Pls cater 20 mins additional travel time from #CityHall to #Dover.We are working to recover service.,7:16 PM - 13 Jun 2017,2017-06-13 19:16:00,EWL,update,CityHall,Dover,0,None,None
181,"[EWL]UPDATE:Due to a track circuit fault at #BuonaVista,pls add 20 mins travel time from #CityHall to #Dover,train svc is still available.",6:56 PM - 13 Jun 2017,2017-06-13 18:56:00,EWL,update,CityHall,Dover,0,None,None
182,[EWL] UPDATE: Pls cater 25 mins additional travel time from #CityHall to #Dover.We are working to recover service.,6:35 PM - 13 Jun 2017,2017-06-13 18:35:00,EWL,update,CityHall,Dover,0,None,None
183,"[EWL]UPDATE:Pls add 25 mins travel time from #CityHall to #Dover,due to a track circuit fault at #BuonaVista.Train svc is still available.",6:14 PM - 13 Jun 2017,2017-06-13 18:14:00,EWL,update,CityHall,Dover,0,None,None
184,[EWL] UPDATE: Pls cater 25 mins additional travel time from #CityHall to #Dover. We are working to recover service.,5:50 PM - 13 Jun 2017,2017-06-13 17:50:00,EWL,update,CityHall,Dover,0,None,None
185,"[EWL]UPDATE:Pls add 25 mins travel time from #CityHall to #Dover,due to a track circuit fault at #BuonaVista. Train svc is still available.",5:32 PM - 13 Jun 2017,2017-06-13 17:32:00,EWL,update,CityHall,Dover,0,None,None
186,"[EWL]UPDATE:Pls add 15 mins travel time from #CityHall to #Dover,due to a track circuit fault at #BuonaVista. Train svc is still available.",5:13 PM - 13 Jun 2017,2017-06-13 17:13:00,EWL,update,CityHall,Dover,0,None,None
187,[EWL] CLEARED: Train services from #PayaLebar to #Simei towards #PasirRis have resumed.,7:58 PM - 17 Apr 2017,2017-04-17 19:58:00,EWL,cleared,,,143.0,PayaLebar,Simei
188,[EWL] UPDATE: Pls cater 5 mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,7:36 PM - 17 Apr 2017,2017-04-17 19:36:00,EWL,update,PayaLebar,Simei,0,None,None
189,[EWL] UPDATE: Pls cater 10mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,7:21 PM - 17 Apr 2017,2017-04-17 19:21:00,EWL,update,PayaLebar,Simei,0,None,None
190,"[EWL]UPDATE: Pls add 15 mins travel time from #PayaLebar to #Simei, due to a track fault at #Simei. Train svc is still available.",6:59 PM - 17 Apr 2017,2017-04-17 18:59:00,EWL,update,PayaLebar,Simei,0,None,None
191,[EWL] UPDATE:  Pls cater 15 mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,6:40 PM - 17 Apr 2017,2017-04-17 18:40:00,EWL,update,PayaLebar,Simei,0,None,None
192,"[EWL]UPDATE:Pls add 15 mins travel time from #PayaLebar to #Simei, due to a track fault at #Simei. Train svc is still available.",6:20 PM - 17 Apr 2017,2017-04-17 18:20:00,EWL,update,PayaLebar,Simei,0,None,None
193,[EWL] UPDATE: Pls cater 15 mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,6:02 PM - 17 Apr 2017,2017-04-17 18:02:00,EWL,update,PayaLebar,Simei,0,None,None
194,[EWL] UPDATE: Pls cater 10 mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,5:57 PM - 17 Apr 2017,2017-04-17 17:57:00,EWL,update,PayaLebar,Simei,0,None,None
195,"[EWL]: Due to a track fault, pls add 10 mins travel time from #PayaLebar to #Simei towards #PasirRis. Train service is still available.",5:35 PM - 17 Apr 2017,2017-04-17 17:35:00,EWL,update,PayaLebar,Simei,0,None,None
196,[EWL] CLEARED: Train services between #JooKoon & #Queenstown have resumed. Free regular bus services have ceased.,5:21 PM - 10 Apr 2017,2017-04-10 17:21:00,EWL,cleared,,,0.0,,
197,"[EWL]UPDATE:Train fault cleared , trains are progressively returning to normal speed. Pls add 10mins travel time btwn #JooKoon & #Queenstown",5:08 PM - 10 Apr 2017,2017-04-10 17:08:00,EWL,cleared,,,24.0,JooKoon,Queenstown
198,[EWL] UPDATE: Free regular bus services are available between #JooKoon & #Queenstown.,4:49 PM - 10 Apr 2017,2017-04-10 16:49:00,EWL,update,JooKoon,Queenstown,0,None,None
199,"[EWL]: Due to a train fault, pls add 25mins travel time between #JooKoon & #Queenstown. Train service is still available.",4:44 PM - 10 Apr 2017,2017-04-10 16:44:00,EWL,update,JooKoon,Queenstown,0,None,None
200,[EWL] CLEARED: Train services from #Bugis to #TanahMerah are running normally now.,7:35 PM - 9 Apr 2017,2017-04-09 19:35:00,EWL,cleared,,,64.00000000000001,Bugis,TanahMerah
201,[EWL] UPDATE: Pls cater 5 mins additional travel time from #Bugis to #TanahMerah. We are working to recover service.,7:18 PM - 9 Apr 2017,2017-04-09 19:18:00,EWL,update,Bugis,TanahMerah,0,None,None
202,[EWL] UPDATE: Pls cater 10 mins additional travel time from #Bugis to #TanahMerah. We are working to recover service.,7:09 PM - 9 Apr 2017,2017-04-09 19:09:00,EWL,update,Bugis,TanahMerah,0,None,None
203,"[EWL]UPDATE:Pls add 15 mins travel time from #Bugis to #TanahMerah,due to a door fault at #Bedok. Train svc is still available",6:49 PM - 9 Apr 2017,2017-04-09 18:49:00,EWL,update,Bugis,TanahMerah,0,None,None
204,"[EWL]: Due to a Platform Screen Door fault at Bedok, pls add 10 mins travel time from #Bugis to #TanahMerah towards #PasirRis.",6:31 PM - 9 Apr 2017,2017-04-09 18:31:00,EWL,update,Bugis,TanahMerah,0,None,None
205,[EWL] CLEARED: Free regular bus services have ceased.,4:15 AM - 30 Mar 2017,2017-03-30 04:15:00,EWL,cleared,,,0.0,,
206,[EWL]UPDATE: Train service from #PasirRis to #PayaLebar has resumed. Free regular bus services are available from #TanahMerah to #PayaLebar.,3:54 AM - 30 Mar 2017,2017-03-30 03:54:00,EWL,cleared,,,57.0,PasirRis,PayaLebar
207,[EWL] UPDATE: Pls cater 20 mins additional travel time from #PasirRis towards #PayaLebar. We are working to recover service.,3:38 AM - 30 Mar 2017,2017-03-30 03:38:00,EWL,update,PasirRis,PayaLebar,0,None,None
208,"[EWL]UPDATE:Pls add 40 mins travel time from #PasirRis to #PayaLebar,due to a train fault near #TanahMerah. Train svc is still available.",3:08 AM - 30 Mar 2017,2017-03-30 03:08:00,EWL,update,PasirRis,PayaLebar,0,None,None
209,[EWL] UPDATE: Free regular bus services are available from #TanahMerah to #PayaLebar towards #JooKoon.,3:04 AM - 30 Mar 2017,2017-03-30 03:04:00,EWL,update,TanahMerah,PayaLebar,0,None,None
210,"[EWL]: Due to a train fault, pls add 20mins travel time from #PasirRis to #PayaLebar towards #JooKoon. Train service is still available.",2:57 AM - 30 Mar 2017,2017-03-30 02:57:00,EWL,update,PasirRis,PayaLebar,0,None,None
211,[EWL] CLEARED: Free bus service has ceased. We apologise for the inconvenience.,9:07 PM - 14 Mar 2017,2017-03-14 21:07:00,EWL,cleared,,,0.0,,
212,[EWL] CLEARED: Train service between #TanahMerah     and #PasirRis resume. Free bus service is still available.,8:55 PM - 14 Mar 2017,2017-03-14 20:55:00,EWL,cleared,,,27.0,PasirRis,TanahMerah
213,"[EWL]: Due to a train fault, pls add 25 mins travel time from #PasirRis to #TanahMerah towards #JooKoon. Train service is still available.",8:28 PM - 14 Mar 2017,2017-03-14 20:28:00,EWL,update,PasirRis,TanahMerah,0,None,None
214,[EWL] CLEARED: Train services between #JooKoon & #Lakeside have resumed.,5:02 PM - 22 Feb 2017,2017-02-22 17:02:00,EWL,cleared,,,0.0,,
215,"[EWL]UPDATE:Fault cleared , trains service are progressively returning to normal speed btwn #JooKoon & #Lakeside.",4:36 PM - 22 Feb 2017,2017-02-22 16:36:00,EWL,cleared,,,8.000000000000002,JooKoon,Lakeside
216,"[EWL]: Due to a train fault, train service between #JooKoon & #Lakeside will delay for 20 minutes.",4:28 PM - 22 Feb 2017,2017-02-22 16:28:00,EWL,update,JooKoon,Lakeside,0,None,None
217,[EWL]UPDATE:Train service is running normally now.,8:06 PM - 11 Feb 2017,2017-02-11 20:06:00,EWL,cleared,,,268.00000000000006,BoonLay,JooKoon
218,"[EWL] UPDATE: Due to an earlier track fault, pls add 10mins travel time between #BoonLay & #JooKoon.",3:38 PM - 11 Feb 2017,2017-02-11 15:38:00,EWL,update,BoonLay,JooKoon,0,None,None
219,[EWL] CLEARED: Free regular bus & free bridging bus services have ceased.,3:37 PM - 11 Feb 2017,2017-02-11 15:37:00,EWL,cleared,,,9.0,BoonLay,JooKoon
220,"[EWL] UPDATE: [EWL]: Due to an earlier track fault, pls add 10mins travel time between #BoonLay & #JooKoon.",3:28 PM - 11 Feb 2017,2017-02-11 15:28:00,EWL,update,BoonLay,JooKoon,0,None,None
221,[EWL] UPDATE: Train service resumed. Free regular bus & free bridging bus services are still available between #JooKoon & #BoonLay.,3:05 PM - 11 Feb 2017,2017-02-11 15:05:00,EWL,cleared,,,67.00000000000001,JooKoon,BoonLay
222,[EWL] UPDATE: No train service between #JooKoon & #BoonLay. Check our bus guides at http://www.smrt.com.sg/Trains/Alternative-Travel-Options …,2:44 PM - 11 Feb 2017,2017-02-11 14:44:00,EWL,update,JooKoon,BoonLay,0,None,None
223,[EWL] UPDATE: Free regular bus & free bridging bus services are available between #JooKoon & #BoonLay.,2:24 PM - 11 Feb 2017,2017-02-11 14:24:00,EWL,update,JooKoon,BoonLay,0,None,None
224,[EWL]No train service between #JooKoon &#BoonLay due to a track fault at #JooKoon. Free bridging bus is available between #JooKoon &#BoonLay,1:58 PM - 11 Feb 2017,2017-02-11 13:58:00,EWL,update,JooKoon,BoonLay,0,None,None
225,[EWL]UPDATE:Trains are progressively returning to normal speed from #JurongEast to #JooKoon.,5:11 PM - 6 Feb 2017,2017-02-06 17:11:00,EWL,cleared,,,59.0,JurongEast,JooKoon
226,"[EWL]UPDATE:Pls add 10 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available",5:01 PM - 6 Feb 2017,2017-02-06 17:01:00,EWL,update,JurongEast,JooKoon,0,None,None
227,"[EWL]UPDATE:Pls add 15 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available.",4:52 PM - 6 Feb 2017,2017-02-06 16:52:00,EWL,update,JurongEast,JooKoon,0,None,None
228,"[EWL]UPDATE:Pls add 20 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available.",4:45 PM - 6 Feb 2017,2017-02-06 16:45:00,EWL,update,JurongEast,JooKoon,0,None,None
229,"[EWL]UPDATE:Pls add 25 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available",4:35 PM - 6 Feb 2017,2017-02-06 16:35:00,EWL,update,JurongEast,JooKoon,0,None,None
230,"[EWL]UPDATE:Pls add 20 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available",4:22 PM - 6 Feb 2017,2017-02-06 16:22:00,EWL,update,JurongEast,JooKoon,0,None,None
231,"[EWL]: Due to a track work, pls add 15 mins travel time from #JurongEast to #JooKoon towards #JooKoon. Train service is still available.",4:12 PM - 6 Feb 2017,2017-02-06 16:12:00,EWL,update,JurongEast,JooKoon,0,None,None
232,[EWL]UPDATE:Train service is running normally now.,6:17 AM - 23 Jan 2017,2017-01-23 06:17:00,EWL,cleared,,,223.0,JooKoon,Clementi
233,"[EWL]UPDATE:Pls add 10 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",6:00 AM - 23 Jan 2017,2017-01-23 06:00:00,EWL,update,JooKoon,Clementi,0,None,None
234,"[EWL]UPDATE:Pls add 15 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",5:47 AM - 23 Jan 2017,2017-01-23 05:47:00,EWL,update,JooKoon,Clementi,0,None,None
235,"[EWL]UPDATE:Pls add 20 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",5:30 AM - 23 Jan 2017,2017-01-23 05:30:00,EWL,update,JooKoon,Clementi,0,None,None
236,"[EWL]UPDATE: Pls add 25mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",5:18 AM - 23 Jan 2017,2017-01-23 05:18:00,EWL,update,JooKoon,Clementi,0,None,None
237,"[EWL]UPDATE: Pls add 25 mins travel time from #JooKoon towards #Clementi, due to a track fault at #JurongEast. Train svc is still available.",4:58 AM - 23 Jan 2017,2017-01-23 04:58:00,EWL,update,JooKoon,Clementi,0,None,None
238,"[EWL]UPDATE:Pls add 25 mins travel time from #JooKoon towards #Clementi, due to a track fault at #JurongEast.Train svc is still available.",4:39 AM - 23 Jan 2017,2017-01-23 04:39:00,EWL,update,JooKoon,Clementi,0,None,None
239,"[EWL]UPDATE:Pls add 25 mins travel time from #JooKoon towards #Clementi, due to a track fault at #JurongEast. Train svc is still available.",4:20 AM - 23 Jan 2017,2017-01-23 04:20:00,EWL,update,JooKoon,Clementi,0,None,None
240,"[EWL]UPDATE:Pls add 25 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",4:00 AM - 23 Jan 2017,2017-01-23 04:00:00,EWL,update,JooKoon,Clementi,0,None,None
241,"[EWL]UPDATE: Pls add 25 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",3:43 AM - 23 Jan 2017,2017-01-23 03:43:00,EWL,update,JooKoon,Clementi,0,None,None
242,"[EWL]UPDATE:Pls add 25 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available",3:26 AM - 23 Jan 2017,2017-01-23 03:26:00,EWL,update,JooKoon,Clementi,0,None,None
243,"[EWL]UPDATE:Pls add 20 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available",3:00 AM - 23 Jan 2017,2017-01-23 03:00:00,EWL,update,JooKoon,Clementi,0,None,None
244,"[EWL]: Due to a track fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is still available.",2:34 AM - 23 Jan 2017,2017-01-23 02:34:00,EWL,update,JooKoon,Clementi,0,None,None
245,"[EWL]UPDATE:Fault cleared, trains are running normally now.",5:50 PM - 18 Jan 2017,2017-01-18 17:50:00,EWL,cleared,,,0.0,,
246,"[EWL]UPDATE:Track fault cleared,trains are progressively returning to normal speed.Pls add 10mins travel time from #JooKoon towards#Clementi",5:27 PM - 18 Jan 2017,2017-01-18 17:27:00,EWL,cleared,,,101.0,JooKoon,Clementi
247,"[EWL]UPDATE: Pls add 15 mins travel time from #JooKoon towards #Clementi,due to a track fault at #Clementi. Train svc is still available",5:13 PM - 18 Jan 2017,2017-01-18 17:13:00,EWL,update,JooKoon,Clementi,0,None,None
248,"[EWL]UPDATE:Pls add 20 mins travel time from #JooKoon towards #Clementi, due to a track fault at #Clementi. Train svc is still available",5:02 PM - 18 Jan 2017,2017-01-18 17:02:00,EWL,update,JooKoon,Clementi,0,None,None
249,"[EWL]UPDATE: Pls add 20 mins travel time from #JooKoon towards #Clementi,due to a track fault at #Clementi. Train svc is still available",4:42 PM - 18 Jan 2017,2017-01-18 16:42:00,EWL,update,JooKoon,Clementi,0,None,None
250,"[EWL]UPDATE:Pls add 20 mins travel time from #JooKoon towards #Clementi,due to a track fault at #Clementi. Train svc is still available",4:25 PM - 18 Jan 2017,2017-01-18 16:25:00,EWL,update,JooKoon,Clementi,0,None,None
251,"[EWL]UPDATE:Pls add 15 mins travel time from #JooKoon towards #Clementi,due to a track fault at #Clementi. Train svc is still available",4:01 PM - 18 Jan 2017,2017-01-18 16:01:00,EWL,update,JooKoon,Clementi,0,None,None
252,"[EWL]: Due to a track fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is still available.",3:46 PM - 18 Jan 2017,2017-01-18 15:46:00,EWL,update,JooKoon,Clementi,0,None,None
253,"[EWL]UPDATE:Track fault cleared, trains are progressively returning to normal speed.",4:38 PM - 3 Jan 2017,2017-01-03 16:38:00,EWL,cleared,,,51.0,BoonLay,Clementi
254,[EWL]UPDATE: Pls expect 15mins travel time fr #BoonLay to #Clementi towards #PasirRis due to track fault. Train service is still available.,4:22 PM - 3 Jan 2017,2017-01-03 16:22:00,EWL,update,BoonLay,Clementi,0,None,None
255,"[EWL]: Due to a track fault, pls add 10 mins travel time from #BoonLay to #Clementi towards #PasirRis. Train service is still available.",3:47 PM - 3 Jan 2017,2017-01-03 15:47:00,EWL,update,BoonLay,Clementi,0,None,None
256,"[EWL]UPDATE:Track fault cleared, trains are progressively returning to normal speed from #TanahMerah to #Eunos towards #JooKoon .",5:57 PM - 22 Dec 2016,2016-12-22 17:57:00,EWL,cleared,,,163.0,TanahMerah,Eunos
257,[EWL] UPDATE: Pls add 10 mins travel time from #TanahMerah towards #JooKoon. We are working to recover service. Train svc still available.,4:08 PM - 22 Dec 2016,2016-12-22 16:08:00,EWL,update,TanahMerah,JooKoon,0,None,None
